SETTLEMENTDATE,RRP,DAYTYPE,MONTH,HOUR,YEAR,DAY
2022-01-07 06:00,78.32083333,1,1,7,2022,7
2022-01-07 07:00,99.41916667,1,1,8,2022,7
2022-01-07 08:00,105.9341667,1,1,9,2022,7
2022-01-07 09:00,75.38,1,1,10,2022,7
2022-01-07 10:00,103.0008333,1,1,11,2022,7
2022-01-07 11:00,94.92916667,1,1,12,2022,7
2022-01-07 12:00,81.6425,1,1,13,2022,7
2022-01-07 13:00,64.5925,1,1,14,2022,7
2022-01-07 14:00,75.29583333,1,1,15,2022,7
2022-01-07 15:00,76.1925,1,1,16,2022,7
2022-01-07 16:00,87.15583333,1,1,17,2022,7
2022-01-07 17:00,76.11,1,1,18,2022,7
2022-01-07 18:00,79.40083333,1,1,19,2022,7
2022-01-07 19:00,108.8583333,1,1,20,2022,7
2022-01-07 20:00,80.6725,1,1,21,2022,7
2022-01-07 21:00,82.4275,1,1,22,2022,7
2022-01-07 22:00,82.73833333,1,1,23,2022,7
2022-01-07 23:00,81.35916667,1,1,24,2022,7
2022-01-08 00:00,77.945,0,1,1,2022,8
2022-01-08 01:00,74.34583333,0,1,2,2022,8
2022-01-08 02:00,70.345,0,1,3,2022,8
2022-01-08 03:00,70.15833333,0,1,4,2022,8
2022-01-08 04:00,71.3175,0,1,5,2022,8
2022-01-08 05:00,72.8925,0,1,6,2022,8
2022-01-08 06:00,64.04666667,0,1,7,2022,8
2022-01-08 07:00,52.05916667,0,1,8,2022,8
2022-01-08 08:00,59.72,0,1,9,2022,8
2022-01-08 09:00,39.06666667,0,1,10,2022,8
2022-01-08 10:00,56.82666667,0,1,11,2022,8
2022-01-08 11:00,71.72083333,0,1,12,2022,8
2022-01-08 12:00,68.2375,0,1,13,2022,8
2022-01-08 13:00,77.41666667,0,1,14,2022,8
2022-01-08 14:00,79.6875,0,1,15,2022,8
2022-01-08 15:00,81.03666667,0,1,16,2022,8
2022-01-08 16:00,96.88833333,0,1,17,2022,8
2022-01-08 17:00,110.2883333,0,1,18,2022,8
2022-01-08 18:00,106.8058333,0,1,19,2022,8
2022-01-08 19:00,102.0933333,0,1,20,2022,8
2022-01-08 20:00,86.86083333,0,1,21,2022,8
